Hour,MQ2,MQ3,MQ4,MQ5,MQ9,MQ135,Temp,Hum,Hours Left to Rot
0,241,277,206,210,131,370,32,64.1,117
1,243,258,202,212,128,378,31.7,64,116
2,239,179,205,211,129,369,30.7,66,115
3,232,243,198,207,128,357,30.6,62.5,114
4,231,172,196,206,129,353,30.7,62.5,113
5,237,176,196,211,129,360,30.8,65.5,112
6,245,241,206,217,130,373,30.9,64.6,111
7,254,257,215,223,131,386,31,64.3,110
8,271,271,223,237,132,410,31.1,65.6,109
9,248,260,211,219,130,378,31.1,66.4,108
10,241,169,218,213,130,367,NAN,NAN,107
11,227,175,198,203,129,345,NAN,NAN,106
12,226,253,197,203,129,345,NAN,NAN,105
13,226,216,196,204,129,344,NAN,NAN,104
14,227,162,199,204,129,347,NAN,NAN,103
15,240,304,226,211,131,363,NAN,NAN,102
16,227,293,199,204,129,345,NAN,NAN,101
17,229,186,206,204,129,346,NAN,NAN,100
18,233,283,210,208,130,351,NAN,NAN,99
19,231,147,203,207,129,351,NAN,NAN,98
20,230,288,209,206,130,347,NAN,NAN,97
21,234,189,215,208,131,350,NAN,NAN,96
22,226,181,195,203,130,334,NAN,NAN,95
23,238,182,195,220,130,363,NAN,NAN,94
24,234,172,206,216,131,356,NAN,NAN,93
25,238,251,221,215,131,364,NAN,NAN,92
26,248,191,242,220,134,377,NAN,NAN,91
27,260,218,252,231,134,395,NAN,NAN,90
28,249,238,230,225,134,382,NAN,NAN,89
29,289,231,283,262,145,421,31.2,67.8,88
30,287,269,273,262,146,428,31.8,66.8,87
31,299,239,291,272,146,445,33.4,62.7,86
32,303,288,300,275,145,450,33.2,62.9,85
33,276,245,260,256,153,414,NAN,NAN,84
34,276,250,280,253,161,416,NAN,NAN,83
35,270,243,270,251,160,408,NAN,NAN,82
36,269,241,259,252,159,395,NAN,NAN,81
37,275,246,281,255,160,410,NAN,NAN,80
38,287,256,303,266,161,425,NAN,NAN,79
39,271,239,272,257,160,409,NAN,NAN,78
40,277,245,283,258,161,414,NAN,NAN,77
41,281,246,282,264,161,410,NAN,NAN,76
42,281,436,278,325,156,423,32.1,58.9,75
43,283,453,240,388,153,366,31.7,58.5,74
44,289,478,254,269,158,393,30.3,61.4,73
45,308,489,272,467,158,426,30.6,61.8,72
46,290,492,295,273,161,435,30.8,62.7,71
47,296,499,261,180,152,381,31.3,60.1,70
48,288,496,253,197,153,370,30.7,56.1,69
49,280,461,281,279,157,413,31,55.7,68
50,292,497,276,351,157,398,31.6,57.8,67
51,295,514,274,172,149,401,31.8,52.8,66
52,286,507,268,284,151,390,31.5,50.6,65
53,304,532,278,180,157,428,31.6,49,64
54,307,536,270,339,157,402,31.7,52.3,63
55,295,504,299,370,158,446,31.5,54.2,62
56,298,506,314,226,154,457,31.4,59.9,61
57,321,535,331,211,152,482,31.5,60.2,60
58,303,517,364,518,156,495,31.6,62.7,59
59,293,512,359,318,151,487,NAN,NAN,58
60,292,515,357,547,155,475,NAN,NAN,57
61,295,518,359,410,156,475,NAN,NAN,56
62,296,520,368,541,156,488,NAN,NAN,55
63,300,523,367,577,155,480,NAN,NAN,54
64,299,518,374,573,161,483,NAN,NAN,53
65,294,515,369,396,160,476,NAN,NAN,52
66,294,503,380,310,160,490,NAN,NAN,51
67,292,510,367,440,161,463,NAN,NAN,50
68,292,509,374,262,162,467,NAN,NAN,49
69,293,518,365,383,157,486,NAN,NAN,48
70,305,542,342,259,158,462,NAN,NAN,47
71,314,549,346,365,158,458,NAN,NAN,46
72,294,535,343,223,155,461,NAN,NAN,45
73,304,549,348,343,161,462,NAN,NAN,44
74,304,561,340,321,164,448,31.3,55.8,43
75,282,533,317,312,158,437,31.4,55.6,42
76,282,529,319,320,160,451,31.3,53.6,41
77,310,591,298,314,160,411,31.4,52.5,40
78,305,549,336,325,164,458,31.7,47.8,39
79,314,555,364,341,178,479,31.5,57.9,38
80,314,549,380,325,177,496,31.6,59.3,37
81,378,610,313,294,162,494,31.6,59.9,36
82,302,540,364,302,164,500,31.8,57.1,35
83,292,532,367,321,162,502,NAN,NAN,34
84,276,513,359,309,162,493,NAN,NAN,33
