Hour,MQ2,MQ3,MQ4,MQ5,MQ9,MQ135,Temp,Hum,Hours Left to Rot
85,284,524,362,321,162,481,NAN,NAN,32
86,289,533,368,323,162,487,NAN,NAN,31
87,286,519,376,306,163,486,NAN,NAN,30
88,286,519,377,316,163,487,NAN,NAN,29
89,267,504,376,296,163,484,NAN,NAN,28
90,334,618,328,297,159,420,NAN,NAN,27
91,271,541,338,297,146,448,31.2,67,26
92,327,627,302,264,144,387,31.3,66.7,25
93,324,605,316,311,145,419,31,65.3,24
94,332,620,313,306,150,429,31.4,63.4,23
95,325,620,303,283,147,389,31.4,63.1,22
96,314,604,328,346,146,448,31.4,63.2,21
97,313,604,314,308,144,407,31.9,60.2,20
98,321,619,304,298,144,404,31.6,58.5,19
99,317,593,338,351,148,458,31.7,52.7,18
100,284,555,352,276,151,511,32.3,53.4,17
101,274,538,370,324,149,493,31.6,52.5,16
102,269,530,372,313,150,489,32,51.5,15
103,322,604,349,332,153,473,32.1,49.8,14
104,284,565,344,336,155,479,32.2,49.4,13
105,281,539,364,336,159,493,32.4,51.6,12
106,298,539,401,320,164,512,32.3,53.7,11
107,326,563,426,364,186,528,32.2,57.3,10
108,368,637,401,343,182,495,32.4,57.9,9
109,329,595,422,375,183,500,NAN,NAN,8
110,302,547,447,320,185,513,NAN,NAN,7
111,315,571,432,357,181,495,NAN,NAN,6
112,315,568,448,356,186,499,NAN,NAN,5
113,326,586,441,371,187,492,NAN,NAN,4
114,317,570,445,356,185,491,NAN,NAN,3
115,319,572,453,367,189,499,NAN,NAN,2
116,326,588,446,375,182,479,NAN,NAN,1
117,320,572,451,362,188,491,NAN,NAN,0
118,307,559,457,359,190,501,NAN,NAN,0
119,301,234,476,347,155,559,31.5,66.6,0
120,370,274,411,305,149,464,31.5,66.6,0
121,297,295,447,336,155,531,31.8,64.5,0
122,341,300,429,333,159,505,31.9,63.9,0
123,303,293,427,342,137,511,32,63.5,0
124,344,361,378,310,128,465,32.8,62.4,0
125,365,294,367,305,130,445,34.4,51.4,0
126,316,259,351,320,129,445,34.8,50.3,0
127,338,351,344,313,124,422,34.8,50.2,0
128,345,271,349,334,130,473,34.7,49.6,0
129,327,269,352,327,129,450,35,46.7,0
130,354,244,333,308,124,430,35,47.5,0
131,265,194,436,332,132,517,34.8,46.7,0
132,284,196,393,353,133,478,34.7,46.8,0
133,292,288,380,334,129,475,34.7,47.1,0
134,296,208,360,336,129,474,34.7,47,0
135,362,267,386,383,140,540,33.8,53.4,0
136,317,231,361,346,141,462,33.7,53,0
137,380,294,351,323,142,454,NAN,NAN,0
138,296,241,396,363,146,499,NAN,NAN,0
139,281,239,427,368,149,518,NAN,NAN,0
140,288,242,431,381,149,512,NAN,NAN,0
141,289,251,439,383,151,514,NAN,NAN,0
142,289,261,450,371,152,512,NAN,NAN,0
143,288,259,452,367,153,516,NAN,NAN,0
144,283,263,445,375,152,506,NAN,NAN,0
145,307,280,472,377,155,519,NAN,NAN,0
146,312,275,415,345,151,511,NAN,NAN,0
147,282,328,444,339,145,550,34.2,59.5,0
148,376,220,381,326,135,427,34.2,59.7,0
149,376,575,375,342,135,427,33.6,59.6,0
150,383,245,369,336,137,443,33.7,57.9,0
151,374,277,379,352,138,450,33.7,55,0
152,320,414,386,380,138,446,33.9,54,0
153,311,372,420,412,144,511,34.5,49.2,0
154,372,343,392,364,140,457,35,50.4,0
155,334,368,407,386,143,500,34.4,49,0
156,341,327,396,382,142,494,34.7,47.4,0
157,374,295,379,367,140,458,34.7,47.1,0
158,379,243,371,363,140,447,34.6,44.5,0
159,390,244,360,357,140,433,34.7,48.3,0
160,392,407,372,362,142,448,34.7,49.6,0
161,366,262,388,395,146,536,34.7,50.2,0
162,398,342,379,360,144,460,34.9,50.9,0
163,397,372,377,370,144,443,34.6,49.3,0
164,395,341,381,360,145,459,NAN,NAN,0
165,400,295,370,360,144,441,NAN,NAN,0
166,398,364,370,364,144,440,NAN,NAN,0
167,385,367,390,366,147,460,NAN,NAN,0
168,401,495,377,360,146,434,NAN,NAN,0
169,398,255,406,377,149,453,NAN,NAN,0
170,403,283,400,370,150,464,NAN,NAN,0
171,399,537,412,373,152,466,NAN,NAN,0
172,392,527,399,368,152,454,NAN,NAN,0
173,394,505,420,386,156,488,NAN,NAN,0
174,399,294,400,370,156,446,NAN,NAN,0
175,396,465,417,397,160,475,NAN,NAN,0
176,384,383,434,404,164,477,NAN,NAN,0
177,355,394,437,408,166,501,NAN,NAN,0
178,336,348,469,456,173,546,NAN,NAN,0
179,357,370,462,431,172,534,NAN,NAN,0
180,281,234,493,376,149,618,34,52.3,0
181,298,250,225,397,134,512,33.5,53,0
182,279,231,203,409,137,530,32.3,55.3,0
183,296,231,190,404,134,497,32.6,56.9,0
184,288,226,188,404,135,499,32.4,56.6,0
185,291,229,191,406,136,503,32.3,56.2,0
186,292,231,192,420,138,521,32.3,55.8,0
187,296,234,196,414,137,507,32.3,57.6,0
188,297,235,196,404,136,498,NAN,NAN,0
189,289,232,195,415,137,507,NAN,NAN,0
190,296,237,198,395,137,501,NAN,NAN,0
191,292,234,197,397,137,496,NAN,NAN,0
192,298,236,197,400,137,490,NAN,NAN,0
193,295,236,198,408,139,505,NAN,NAN,0
194,289,232,196,400,139,503,NAN,NAN,0
195,292,234,196,397,139,505,NAN,NAN,0
196,274,223,190,350,138,488,NAN,NAN,0
