Hour,MQ2,MQ3,MQ4,MQ5,MQ9,MQ135,Temp,Hum,Hours Left to Rot
0,210,385,192,241,127,329,33.2,49,109
1,202,365,188,229,128,339,33.2,48.6,108
2,201,350,198,224,127,321,33.5,49.8,107
3,196,355,186,219,128,308,33.5,50.4,106
4,190,345,184,213,128,298,33.6,51.3,105
5,194,358,181,217,129,305,33.6,50.3,104
6,218,389,202,228,130,318,32.4,56.1,103
7,198,362,184,210,128,274,32.4,56.6,102
8,206,370,186,219,128,281,32.4,55.3,101
9,233,396,207,255,131,328,32.6,56,100
10,210,383,189,233,130,296,32.8,55.5,99
11,207,377,185,229,129,289,32.9,51.9,98
12,214,393,183,227,128,285,32.9,49,97
13,216,402,180,223,128,280,32.9,47.3,96
14,218,399,180,228,128,279,32.9,45.1,95
15,225,418,181,232,128,285,32.9,43.5,94
16,213,379,186,244,129,341,32.7,43.3,93
17,205,379,191,241,130,323,32.7,43.9,92
18,207,384,193,246,130,324,33.3,48.4,91
19,209,387,192,249,131,326,33.3,49.4,90
20,208,391,193,251,131,330,33.3,48.3,89
21,242,442,205,282,134,377,33.5,50.3,88
22,223,423,213,267,134,352,33.5,53,87
23,209,413,198,259,132,336, NAN, NAN,86
24,210,412,195,263,132,333, NAN, NAN,85
25,211,413,197,261,132,336, NAN, NAN,84
26,212,415,196,267,132,335, NAN, NAN,83
27,214,416,199,267,133,341, NAN, NAN,82
28,213,413,202,263,133,342, NAN, NAN,81
29,214,414,200,269,132,339, NAN, NAN,80
30,214,406,211,258,134,340, NAN, NAN,79
31,263,438,219,302,135,403,32.2,57.4,78
32,274,470,210,271,135,312,32.1,57.6,77
33,274,466,211,274,136,301,32.4,57.7,76
34,278,477,217,294,137,322,32.4,55.7,75
35,288,486,235,301,136,351,32.6,54.5,74
36,262,455,234,301,136,362,32.8,52.2,73
37,235,422,239,321,135,376,33.4,48.2,72
38,246,446,248,318,135,401,33.5,43.8,71
39,249,466,242,335,135,401,33.7,44.2,70
40,248,458,224,328,134,357,33.6,45,69
41,226,413,210,267,132,425,33.1,44.8,68
42,242,441,212,286,131,370,33.1,44.3,67
43,245,453,211,294,131,373,33.1,47,66
44,244,449,209,288,131,369,33.1,51.3,65
45,241,452,224,295,132,385,33.2,51.5,64
46,257,473,222,301,133,385,33.4,53.1,63
47,247,458,242,306,134,390, NAN, NAN,62
48,243,459,218,290,131,367, NAN, NAN,61
49,250,463,244,312,134,394, NAN, NAN,60
50,252,470,226,302,132,388, NAN, NAN,59
51,245,464,223,298,132,378, NAN, NAN,58
52,215,430,211,249,133,419, NAN, NAN,57
53,208,412,210,238,133,418, NAN, NAN,56
54,213,411,214,243,133,413, NAN, NAN,55
55,250,432,236,292,134,466,32.3,58.3,54
56,274,479,238,329,133,379,32.3,58.4,53
57,284,489,239,324,133,368,32.7,55.3,52
58,278,492,243,325,134,371,32.6,54.8,51
59,276,485,245,335,134,373,32.7,53.8,50
60,284,484,226,312,132,350,32.8,52.8,49
61,244,456,223,290,131,364,32.9,46.8,48
62,231,436,222,332,133,367,33.1,44.2,47
63,250,470,234,335,133,391,33.4,41.1,46
64,289,497,216,311,131,347,33.3,43.1,45
65,306,514,208,291,134,324,33.2,40.2,44
66,252,449,221,294,135,446,32.8,44.6,43
67,253,463,223,306,135,392,32.8,44.8,42
68,238,450,226,309,135,398,33.2,46.8,41
69,237,449,225,305,135,404,33.4,47.8,40
70,286,487,217,305,136,377,33.5,48.4,39
71,242,460,225,309,136,394,33.6,47,38
72,212,425,239,279,137,391, NAN, NAN,37
73,217,420,246,286,136,390, NAN, NAN,36
74,215,426,241,294,136,382, NAN, NAN,35
75,211,418,243,277,136,386, NAN, NAN,34
76,216,425,240,287,136,388, NAN, NAN,33
77,213,418,245,286,137,390, NAN, NAN,32
78,216,419,248,282,136,386, NAN, NAN,31
79,224,432,246,294,137,379, NAN, NAN,30
80,265,458,239,319,138,391,32.6,54.3,29
81,304,506,218,282,132,322,32.6,54.3,28
82,293,500,233,307,134,335,32.5,52.9,27
83,315,520,237,296,134,343,32.8,52.5,26
84,297,510,230,302,133,333,32.8,51.4,25
85,232,445,259,345,138,393,32.8,49.5,24
86,270,470,253,343,137,370,33.7,47.3,23
87,254,479,274,373,139,404,33.6,47.2,22
88,297,511,241,312,136,351,33.8,47.5,21
89,297,513,232,308,135,338,33.4,44.9,20
90,296,489,287,334,137,498,32.4,47.6,19
91,273,469,311,349,136,460,32.2,48.1,18
92,285,487,321,354,139,461,32,50.7,17
93,273,480,305,352,138,452,32.1,52.9,16
94,274,482,296,342,138,442,32.2,52.6,15
95,264,469,299,346,137,446,32.2,52.3,14
96,256,460,289,337,139,425,32.3,52.8,13
97,254,457,280,340,139,414,32.2,52.3,12
98,255,459,287,333,138,423, NAN, NAN,11
99,248,455,293,336,137,426, NAN, NAN,10
100,254,460,302,340,139,429, NAN, NAN,9
101,258,459,305,336,136,427, NAN, NAN,8
102,250,451,295,330,138,419, NAN, NAN,7
103,250,449,296,334,140,414, NAN, NAN,6
104,326,503,322,311,139,484,31.3,59.6,5
105,320,510,332,226,139,426,31.4,58.3,4
106,325,518,331,309,138,419,32.6,56.1,3
107,321,517,329,221,141,418,32.5,55.3,2
108,307,517,334,276,139,438,32.6,55,1
