Hour,MQ2,MQ3,MQ4,MQ5,MQ9,MQ135,Temp,Hum,Hours Left to Rot
109,277,487,319,305,141,442,32.8,54.3,0
110,274,474,323,222,140,434,32.3,55.5,0
111,297,482,324,271,143,487,32.6,53.5,0
112,269,457,346,282,141,467,32.5,53.7,0
113,271,474,330,248,142,448,33.1,54.4,0
114,266,472,321,269,143,442,33,54.2,0
115,270,469,319,257,143,430,33,53.5,0
116,268,469,320,259,144,438,32.8,54.9,0
117,321,519,332,261,141,440,32.8,55.1,0
118,317,527,322,256,144,430,33.1,56,0
119,327,525,302,244,145,394,32.9,57.1,0
120,298,505,295,241,143,382,32.2,57.9,0
121,278,481,288,238,143,367,31.8,59.1,0
122,297,497,283,234,142,389,31.2,57,0
123,291,501,282,233,144,402,31.7,54.8,0
124,289,496,288,237,144,413,31.7,55.2,0
125,288,497,288,237,145,417,31.8,56.2,0
126,274,493,288,237,145,415,31.7,55.8,0
127,293,498,287,236,143,412,31.7,56.4,0
128,286,494,292,241,146,420,31.6,55.8,0
129,258,461,312,253,145,434,31.5,56.3,0
130,302,482,343,293,145,496,31.2,56.8,0
131,284,473,337,256,144,443,31,57.2,0
132,285,482,334,237,144,441,31.5,57.6,0
133,282,481,337,264,147,440,31.5,58.5,0
134,297,506,327,299,148,446,31.4,59.5,0
135,295,497,304,245,147,406,31.4,60,0
136,302,496,340,261,147,464,31.3,58.6,0
137,348,555,338,277,147,526,31.5,59.6,0
138,318,524,313,255,148,456,31.5,60,0
139,305,516,307,257,148,443,32,57.9,0
140,349,540,311,251,148,450,32,57.6,0
141,332,539,316,253,147,444,32.4,56.4,0
142,281,506,316,256,149,440,32.4,55.6,0
143,265,491,325,263,148,441,32,59.4,0
144,274,487,334,269,149,437,32.2,59.3,0
145,269,493,328,265,150,438,32.1,59,0
146,251,470,339,270,151,436,32.1,58.5,0
147,247,461,338,271,149,429,32.2,58.4,0
148,249,461,336,270,150,427,32.1,59.4,0
149,248,457,334,270,151,432,32.2,59.7,0
150,249,457,332,268,151,428,32.1,59.7,0
151,254,456,335,269,149,431,32.1,59,0
152,289,497,317,256,154,417,32,58.3,0
153,277,486,302,247,152,408,32,58.2,0
154,283,488,307,249,152,415,32,57.5,0
155,285,484,312,252,151,425,32.1,57.5,0
156,268,477,321,258,149,435,32.3,58.4,0
157,282,451,306,324,151,548,30.3,56.8,0
158,229,389,273,278,150,451,30.5,56.1,0
159,253,426,264,283,153,433,32.4,51.5,0
160,250,429,244,276,155,405,32.1,51.4,0
161,237,422,250,284,154,413,32.1,49.8,0
162,258,443,257,278,157,418,32.2,50.1,0
163,241,433,268,273,155,434,32.2,52.3,0
164,260,444,267,282,154,420,32.4,54.6,0
165,296,491,262,285,156,407,32.4,53.6,0
166,272,441,280,306,156,492,32.2,53.5,0
167,283,439,236,280,156,395,32.2,54,0
168,243,408,250,282,154,402,32.5,52.9,0
169,238,401,253,259,157,401,32.7,53.1,0
170,239,402,256,246,157,402,32.6,55.6,0
171,251,402,269,249,158,408,32.6,57.2,0
172,252,407,256,259,155,396,32.5,57.4,0
173,252,405,255,246,157,400,32.5,57.6,0
174,289,435,247,291,158,390,32.4,57.7,0
175,276,453,254,294,158,392,32.3,57.3,0
176,283,459,243,264,160,357,32.4,57.5,0
177,271,448,247,283,159,371,32.1,54.9,0
178,267,439,255,300,160,382,32.3,54.5,0
179,247,432,264,302,159,429,32.7,51.8,0
180,253,433,250,277,159,401,33,46.4,0
