Hour,MQ2,MQ3,MQ4,MQ5,MQ9,MQ135,Temp,Hum,Hours Left to Rot
68,222,440,290,321,136,400, NAN, NAN,26
69,222,438,287,309,135,395, NAN, NAN,25
70,220,431,285,307,135,399, NAN, NAN,24
71,274,441,310,364,141,413,33.1,57.1,23
72,245,441,314,327,138,424,33,57.3,22
73,266,478,318,342,140,423,33.3,55.7,21
74,261,483,316,342,139,427,33.4,53.5,20
75,336,559,276,312,138,401,33.6,52.2,19
76,324,547,254,318,137,391,33.6,48.3,18
77,256,482,286,355,138,414, NAN, NAN,17
78,264,494,300,357,139,420, NAN, NAN,16
79,272,499,284,351,137,409, NAN, NAN,15
80,254,483,289,344,137,421, NAN, NAN,14
81,274,498,284,353,137,417, NAN, NAN,13
82,282,488,273,351,135,418,33.8,48.5,12
83,263,488,257,354,136,409,33.7,48.7,11
84,271,499,251,344,137,399,34,46.4,10
85,241,461,268,309,139,428,34.1,45.2,9
86,226,436,278,318,138,414, NAN, NAN,8
87,231,448,266,340,137,400, NAN, NAN,7
88,220,428,268,319,138,393, NAN, NAN,6
89,225,437,262,329,137,387, NAN, NAN,5
90,216,415,259,318,138,400, NAN, NAN,4
91,221,420,261,310,138,395, NAN, NAN,3
92,225,429,267,307,138,400, NAN, NAN,2
93,227,427,261,337,138,395, NAN, NAN,1
94,221,411,272,318,138,402, NAN, NAN,0
95,243,447,287,338,141,383,32.5,46.6,0
96,244,465,314,352,138,399,32.3,47.4,0
97,250,473,307,359,139,409,31.7,48.7,0
98,253,480,325,348,139,427,31.9,45.1,0
99,322,551,284,336,139,409,32,45.3,0
100,244,474,299,348,139,410,32.2,43,0
101,245,505,304,350,139,420,32.1,43.4,0
102,251,493,292,366,138,414,32.3,39.5,0
103,328,509,301,368,137,412,32.3,40.6,0
104,245,471,261,366,138,398,32.3,40.3,0
105,281,526,274,373,139,444,32.5,37.7,0
106,261,497,264,367,138,413,32.7,42.7,0
107,263,497,270,367,138,408,32.6,42.1,0
108,260,482,266,356,139,406,32.6,43.3,0
109,266,515,253,349,138,398,32.7,43.7,0
110,260,502,250,352,138,390,32.7,42.4,0
111,241,480,250,362,137,391, NAN, NAN,0
112,257,505,234,354,136,369, NAN, NAN,0
113,262,511,243,364,137,388, NAN, NAN,0
114,252,500,249,359,137,379, NAN, NAN,0
115,243,488,246,360,136,371, NAN, NAN,0
116,259,499,233,354,136,367, NAN, NAN,0
117,238,474,244,356,136,371, NAN, NAN,0
118,256,496,229,346,135,359, NAN, NAN,0
119,241,471,274,350,138,392, NAN, NAN,0
120,261,470,298,359,142,436,32,42.1,0
121,317,539,280,344,141,400,32,42.1,0
122,280,519,257,345,140,393,32.4,39.1,0
123,281,510,286,370,143,432,32.2,38.9,0
124,264,503,283,366,141,406,32.7,36.9,0
125,326,558,274,333,140,411, NAN, NAN,0
126,274,524,276,362,138,410, NAN, NAN,0
127,261,492,259,352,136,355, NAN, NAN,0
128,244,484,285,361,139,408, NAN, NAN,0
129,263,501,297,375,145,429,32.6,39.7,0
130,258,490,280,358,143,414,32.6,39.8,0
131,259,503,268,370,143,414,32.8,39.6,0
132,264,503,271,359,143,401,32.7,39.8,0
133,248,487,270,349,142,404,32.6,39.9,0
134,333,567,235,323,142,380,32.6,38.1,0
135,244,483,265,348,142,391,32.8,35.8,0
136,260,511,238,355,140,380, NAN, NAN,0
137,245,499,239,353,140,379, NAN, NAN,0
138,251,501,231,355,139,369, NAN, NAN,0
139,239,485,246,355,140,379, NAN, NAN,0
140,237,479,261,344,141,382, NAN, NAN,0
141,239,488,249,350,141,383, NAN, NAN,0
142,232,469,254,340,141,377, NAN, NAN,0
143,248,486,244,344,140,371, NAN, NAN,0
144,229,462,264,341,141,375, NAN, NAN,0
145,233,447,276,344,143,378,32,39.6,0
146,258,484,310,340,146,415,32,39.8,0
147,257,488,320,383,149,459,32.3,42.6,0
148,267,514,321,337,148,454,32.8,39.7,0
149,258,510,326,338,147,438,32.3,41.5,0
150,294,545,283,355,147,418,32.4,41.9,0
151,254,500,302,354,146,417,33,36.6,0
152,304,589,377,363,154,522,32.6,38.7,0
153,281,551,339,365,152,491,32.7,44.9,0
154,292,552,308,360,148,471,32.7,44.7,0
155,276,544,304,354,148,474,33.3,44.7,0
156,261,524,301,351,147,452,33.3,44,0
157,258,524,292,357,146,445,33.5,43.5,0
158,267,528,308,357,148,449,33.6,44.3,0
159,267,535,316,358,149,457,34.1,46.4,0
160,259,530,308,333,148,444, NAN, NAN,0
161,254,521,306,329,148,441, NAN, NAN,0
162,249,510,291,347,147,435, NAN, NAN,0
163,261,516,305,356,148,440, NAN, NAN,0
164,245,500,302,337,147,422, NAN, NAN,0
165,265,516,332,338,149,450, NAN, NAN,0
166,258,517,321,328,148,439, NAN, NAN,0
167,291,566,298,354,148,452, NAN, NAN,0
168,295,559,266,339,146,412, NAN, NAN,0
169,289,548,263,348,146,414, NAN, NAN,0
170,276,532,265,346,145,403, NAN, NAN,0
171,294,558,276,356,148,442, NAN, NAN,0
172,262,521,304,300,153,461,33.4,50.8,0
173,256,508,339,323,150,435,33.4,50.8,0
174,254,435,340,322,150,426,33.3,49.2,0
175,254,502,344,313,151,433,33.5,46.7,0
176,254,508,340,332,151,437,33.6,46.3,0
177,260,524,339,330,150,434,33.6,46.2,0
178,257,520,339,331,151,442,33.5,44.8,0
179,261,521,345,321,151,440,33.6,46.5,0
180,256,514,341,330,151,438,33.7,47.6,0
181,248,506,331,316,151,428,33.7,47.4,0
182,254,509,334,305,153,437,33.8,48.2,0
183,315,564,263,304,147,382,33.8,48.3,0
184,271,528,272,340,147,394,33.5,48.8,0
185,269,534,248,342,146,384, NAN, NAN,0
186,241,499,313,307,147,398, NAN, NAN,0
187,246,496,299,340,147,389, NAN, NAN,0
188,259,512,249,336,144,365, NAN, NAN,0
189,245,501,270,325,145,384, NAN, NAN,0
190,262,515,260,330,145,375, NAN, NAN,0
191,242,488,304,293,148,404, NAN, NAN,0
192,242,496,293,292,147,395, NAN, NAN,0
193,282,536,251,297,144,356, NAN, NAN,0
194,264,514,253,335,147,380, NAN, NAN,0
195,257,486,285,336,149,418, NAN, NAN,0
196,254,503,301,342,150,438, NAN, NAN,0
197,247,483,282,309,147,387, NAN, NAN,0
198,242,477,295,287,150,403,32.8,51,0
199,258,502,294,331,148,393,32.7,51.2,0
200,265,497,308,346,150,412,32.5,49.8,0
201,274,533,315,343,151,431,32.9,46.9,0
202,258,519,324,326,151,429,33,48.8,0
203,277,528,337,334,152,437,33.1,48.3,0
204,269,526,336,318,153,438,33.2,49.3,0
205,266,523,283,326,148,408,33.3,49.4,0
206,264,519,291,324,148,420,33.2,50.6,0
207,260,516,287,326,148,418,33.2,51.8,0
208,258,511,290,322,148,418,33.3,51,0
209,272,539,294,331,149,442,33.5,50.4,0
210,258,529,278,332,147,412,33.4,51.9,0
211,237,501,286,295,147,399, NAN, NAN,0
212,236,498,280,301,146,397, NAN, NAN,0
213,236,496,295,292,148,398, NAN, NAN,0
214,238,496,292,296,147,400, NAN, NAN,0
215,242,499,284,313,146,400, NAN, NAN,0
216,254,506,301,309,149,411, NAN, NAN,0
217,256,510,294,309,147,414, NAN, NAN,0
218,286,508,291,313,147,406,32.6,57.7,0
219,306,527,260,295,145,398,32.5,57.9,0
220,290,527,242,292,145,372,32.7,56.5,0
221,262,499,275,342,149,424,32.6,55.2,0
222,267,522,276,331,147,417,33.1,55.8,0
223,283,534,252,303,147,398,32.8,56.9,0
224,262,510,261,331,147,400,32.7,55.3,0
225,284,526,258,315,147,399,32.8,57.1,0
