Hour,MQ2,MQ3,MQ4,MQ5,MQ9,MQ135,Temp,Hum,Hours Left to Rot
0,244,433,241,340,126,428,30.4,59.1,94
1,242,420,239,335,127,432,30.4,58,93
2,252,462,246,356,128,424,32.4,48.7,92
3,241,462,236,341,127,401,32.8,48.9,91
4,241,468,235,333,127,405,32.6,47,90
5,250,465,233,326,127,402,32.7,50,89
6,248,463,252,327,129,419,32.9,49.1,88
7,252,473,240,329,128,402,33,51.3,87
8,239,462,238,320,129,420,33,51,86
9,257,489,236,326,128,410,33.1,51.7,85
10,247,483,210,317,125,409,32.8,52.8,84
11,259,484,179,276,123,345,32.6,52.9,83
12,218,438,188,313,123,336,33,50.8,82
13,249,482,168,270,121,309,33.2,50.2,81
14,219,440,185,315,122,328,32.9,50.8,80
15,225,453,175,301,121,316,33.1,48.8,79
16,240,469,168,277,121,298,32.8,48.6,78
17,228,454,188,312,123,325,32.6,48,77
18,228,452,187,307,123,333,32.8,50,76
19,245,441,214,330,127,391,32.6,52.5,75
20,311,542,206,267,127,330,32.6,52.6,74
21,290,529,210,285,128,337,32.1,56.5,73
22,277,519,219,309,128,357,32.2,56.4,72
23,312,565,230,300,129,391,32.4,55.8,71
24,314,559,210,289,128,356,32.4,53.2,70
25,304,533,220,302,129,347,32.6,49.1,69
26,240,430,228,267,130,440,32.9,45.4,68
27,241,461,273,358,132,428,33.2,48.7,67
28,241,463,270,356,132,420,33.3,48.2,66
29,240,456,244,316,125,411,33.2,47.5,65
30,251,471,218,325,128,382,33.2,47.8,64
31,223,438,227,313,128,395,33.4,46.5,63
32,245,473,246,349,131,423,33.6,46.4,62
33,242,454,245,337,130,406,33.8,47.9,61
34,255,468,259,339,132,430,33.7,45.8,60
35,244,470,234,343,129,402,33.8,47.1,59
36,216,435,228,335,128,383, NAN, NAN,58
37,207,418,225,322,128,377, NAN, NAN,57
38,207,406,235,292,129,391, NAN, NAN,56
39,206,407,233,309,130,389, NAN, NAN,55
40,209,408,251,302,131,405, NAN, NAN,54
41,208,412,250,313,131,398, NAN, NAN,53
42,222,419,264,295,132,398, NAN, NAN,52
43,212,412,254,306,131,396, NAN, NAN,51
44,227,435,237,323,130,404, NAN, NAN,50
45,263,444,246,354,130,416,32.8,52.7,49
46,254,452,246,324,131,388,32.7,52.8,48
47,246,452,289,337,134,421,32.8,52.2,47
48,250,476,273,352,131,410,33.1,52.5,46
49,246,473,266,344,131,409,33.2,51.7,45
50,269,497,254,321,130,418,33.3,50.2,44
51,285,514,244,378,131,421,33.2,46.4,43
52,252,497,264,350,131,413, NAN, NAN,42
53,260,500,272,357,133,417,33.6,48.1,41
54,236,463,255,334,134,416,33.6,48,40
55,268,497,226,341,131,368,33.8,47.6,39
56,263,491,254,349,133,406,33.7,44.5,38
57,267,497,256,343,133,405,33.8,49.7,37
58,318,562,224,322,132,396,33.8,48.8,36
59,334,584,203,291,131,370,34.2,45.5,35
60,249,485,265,349,134,416,33.9,45.9,34
61,237,485,282,335,136,427, NAN, NAN,33
62,212,437,271,298,134,394, NAN, NAN,32
63,212,430,265,308,134,398, NAN, NAN,31
64,211,428,266,294,134,396, NAN, NAN,30
65,215,434,264,320,134,394, NAN, NAN,29
66,220,441,274,343,134,392, NAN, NAN,28
67,217,436,284,289,135,401, NAN, NAN,27
